COLUMN1,COLUMN2,COLUMN3,COLUMN4,COLUMN5,COLUMN6,COLUMN7,COLUMN8,COLUMN9,COLUMN10,COLUMN11,COLUMN12,COLUMN13,COLUMN14,COLUMN15,COLUMN16,COLUMN17,COLUMN18,COLUMN19,COLUMN20,COLUMN21,COLUMN22,COLUMN23,COLUMN24,COLUMN25,COLUMN26,COLUMN27,COLUMN28,COLUMN29,COLUMN30,COLUMN31,COLUMN32,COLUMN33,COLUMN34,COLUMN35
1,0,.1859,-.16667,0,0,0,0,0,0,0,0,.11538,-.19071,0,0,0,0,0,0,0,0,-.05128,-.06571,.07853,.08974,.17308,-.10897,.125,.09615,.02564,-.04808,.16827,.19551,1
1,0,1,1,-1,1,-1,-.82456,.34649,.21053,.46053,.07018,.22807,.05702,.35088,.34649,.72807,-.03947,.22807,.5307,0,0,-.29825,-.16228,1,-.66667,1,-1,1,-.24561,.35088,.20175,.82895,.07895,1
0,0,-1,1,1,-1,0,0,0,0,1,-1,1,1,0,0,1,-1,0,0,0,0,1,1,-1,1,1,-1,-1,1,-1,-1,0,0,1
1,0,-1,-1,-.50694,1,1,-1,1,.53819,0,0,.23958,-1,1,1,0,0,1,1,1,1,0,0,-.71528,1,.33333,-1,1,-1,.69792,-1,.47569,1,1
1,0,1,1,0,0,1,-1,-1,-1,1,1,1,-1,0,0,1,-1,1,1,0,0,1,-1,-1,-1,1,1,-1,1,-1,1,0,0,1
0,0,-1,1,-1,-1,0,0,-1,1,1,-1,-1,-1,-1,1,0,0,-1,-1,-1,1,0,0,1,-1,1,1,1,-1,1,1,0,0,1
0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,-1,-1,0,0,1,1,1,-1,1,-1,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,1,-.33333,.16667,.26042,0,0,0,0,0,0,-.19792,-.21875,-.16667,.90625,-1,.5,.04167,.75,-.22917,-1,-.125,-.27083,-.19792,-.9375,1
1,0,1,-.09524,-1,-1,-1,-1,1,.31746,.81349,.7619,-1,-1,-1,1,.47364,1,1,1,.68839,-1,-1,-1,.82937,.36508,1,1,1,.50794,-1,-.3254,-1,.72831,1
1,0,1,-1,1,1,1,1,1,-.5,1,1,1,1,1,1,0,0,1,1,1,1,1,-1,1,1,1,.625,1,-.75,-.75,1,1,1,1
1,0,.36876,-1,-1,-1,-.07661,1,1,.95041,.74597,-.3871,-1,-.79313,-.09677,1,.48684,.46502,.31755,-.27461,-.14343,-.20188,-.11976,.06895,.03021,.06639,.03443,-.01186,-.00403,-.01672,-.00761,.00108,.00015,.00325,1
0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,-1,0,0,1,1,1,-1,1,1,1,0,1,1,1,-1,0,0,1
1,0,0,0,0,0,0,0,-.85,-1,0,0,1,-1,0,0,-1,-1,-1,-1,1,-1,-.6,-1,1,1,-1,-.2,1,-1,0,1,0,0,1
0,0,0,0,-1,1,1,1,-1,-1,0,0,-1,-1,-1,-.3125,-1,-1,1,-1,1,-1,0,0,1,-1,-1,-1,0,0,1,-1,0,0,1
1,0,-1,1,-1,.15244,.28354,1,-1,1,-1,-1,1,1,-1,-.23476,.28301,-1,1,1,-.31402,-1,-1,-1,1,-1,-1,-.03578,1,-1,-1,-.32317,.14939,1,1
1,0,-.00641,-.5,0,0,-.01923,1,0,0,0,0,0,0,0,0,0,0,.3141,.92949,-.35256,.74359,-.34615,-.80769,0,0,-.61538,-.51282,0,0,0,0,0,0,1
0,0,-1,-1,1,-1,-1,1,0,0,1,-1,1,-1,0,0,0,0,0,0,-1,1,1,-1,-1,1,1,1,0,0,1,.5,0,0,1
1,0,-1,-.59677,0,0,-1,.64516,-.87097,1,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,.29839,.23387,1,.51613,0,0,0,0,0,0,1
0,0,1,1,1,-1,1,1,1,1,1,1,1,-1,1,1,1,-1,1,-1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1
0,0,1,-1,1,1,1,-1,1,1,1,-1,1,-1,1,-1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,-1,1
0,0,1,1,1,-1,1,-1,1,1,0,0,1,-1,0,0,0,0,0,0,-1,1,1,1,0,0,1,1,0,0,-1,-1,0,0,1
0,0,1,-1,-1,1,-1,1,1,1,1,1,-1,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,1,0,1,-1,1,-1,-1,1,-1,1,1
0,0,1,-1,1,1,1,-1,1,1,1,-1,1,1,1,-1,1,-1,1,1,1,1,1,-1,1,-1,1,-1,1,1,1,-1,1,1,1
0,0,0,0,1,1,0,0,1,1,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,-1,1,0,0,1
0,0,0,0,1,1,1,1,0,0,0,0,-1,-1,0,0,-1,-1,0,0,0,0,1,1,0,0,1,1,0,0,-1,1,0,0,1
0,0,1,-1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,-1,1,-1,1,-1,1,-1,1,1,1,-1,1,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
1,0,1,-.18829,.93035,-.36156,-.10868,-.93597,1,-.04549,.50874,-.67743,.34432,-.69707,-.51685,-.97515,.05499,-.62237,.33109,-1,-.13151,-.453,-.18056,-.35734,-.20332,-.26569,-.20468,-.18401,-.1904,-.11593,-.16626,-.06288,-.13738,-.02447,1
1,0,1,-.45161,1,1,.71216,-1,0,0,0,0,0,0,-1,.14516,.54094,-.3933,-1,-.54467,-.69975,1,0,0,1,.90695,.51613,1,1,-.20099,.25682,1,-.32382,1,1
1,0,.02337,-.00592,-.09924,-.11949,-.00763,-.11824,.14706,.06637,.03786,-.06302,0,0,-.04572,-.1554,-.00343,-.10196,-.11575,-.05414,.01838,.03669,.01519,.00888,.03513,-.01535,-.0324,.09223,-.07859,.00732,0,0,-.00039,.12011,1
0,0,0,0,0,0,1,-1,0,0,-1,-1,0,0,0,0,1,1,-1,-1,0,0,0,0,1,1,1,1,0,0,1,1,0,0,1
1,0,-.01864,-.08459,0,0,0,0,.1147,-.2681,-.45663,-.38172,0,0,-.33656,.38602,-.37133,.15018,.63728,.22115,0,0,0,0,-.14803,-.01326,.20645,-.02294,0,0,.16595,.24086,-.08208,.38065,1
1,0,1,-.5421,1,-1,1,-1,1,.36217,1,-.41119,1,1,1,-1,1,-.29354,1,-.93599,1,1,1,1,1,-.40888,1,-.62745,1,-1,1,-1,1,-1,1
1,0,1,-.86701,1,.2228,.85492,-.39896,1,-.1209,1,.35147,1,.07772,1,-.14767,1,-1,1,-1,.61831,.15803,1,.62349,1,-.17012,1,.35924,1,-.66494,1,.88428,1,-.18826,1
1,0,.50932,-.93996,1,.26708,-.0352,-1,1,-1,.43685,-1,0,0,-1,-.34265,-.37681,.03623,1,-1,0,0,0,0,-.16253,.92236,.39752,.26501,0,0,1,.23188,0,0,1
0,0,0,0,-1,-1,1,1,-1,1,-1,1,1,-1,1,1,-1,-1,-1,1,1,-1,-1,1,-1,1,1,-1,-1,1,-1,-1,1,-1,1
0,0,1,-1,0,0,0,0,1,1,1,-1,-.71875,1,0,0,-1,1,1,1,-1,1,1,.5625,-1,1,1,1,1,-1,1,1,1,1,1
0,0,1,1,0,0,0,0,-1,-1,0,0,0,0,-1,-1,-1,-1,-1,1,-1,1,0,0,0,0,1,-1,-1,1,-1,1,-1,1,1
0,0,-1,1,0,0,0,0,-1,1,1,1,0,0,0,0,1,-1,-1,1,1,1,0,0,-1,-1,1,-1,1,1,-1,1,0,0,1
1,0,1,.5782,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-.62796,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1
0,0,-1,-1,0,0,-1,1,1,-.375,0,0,0,0,0,0,1,-1,-1,-1,1,-1,0,0,1,-1,-1,1,-1,-1,0,0,-1,1,1
0,0,-1,-1,1,1,1,-1,-1,1,1,-1,-1,-1,0,0,1,1,-1,-1,1,-1,1,-1,1,1,1,-1,1,-1,-1,1,1,-1,1
1,0,1,-1,1,1,1,-1,1,-1,1,-1,1,-.0184,1,-1,1,1,1,-.85583,1,1,1,-1,0,0,1,1,1,-.79141,1,1,1,1,1
1,0,.71253,-.02595,.41287,-.23067,.98019,-.09473,.99709,-.10236,1,-.10951,.58965,1,.83726,-1,.8227,-.17863,.8076,-.28257,-.25914,.9273,.51933,.05456,.65493,-.20392,.93124,-.41307,.63811,-.21901,.86136,-.87354,-.23186,-1,1
1,0,.66161,-1,1,1,1,-.67321,.80893,-.40446,1,-1,1,-.89375,1,.73393,.17589,.70982,1,.78036,1,.85268,1,-1,1,.85357,1,-.08571,.95982,-.3625,1,.65268,1,.34732,1
0,0,1,1,1,-1,0,0,0,0,-1,-1,0,0,0,0,-1,1,1,1,-1,1,-1,1,1,-1,1,1,-1,1,1,1,0,0,1
1,0,1,.02461,.99672,.04861,.97545,.07143,.61745,-1,.91036,.11147,.88462,.5364,.82077,.14137,.76929,.15189,1,.41003,.6585,.16371,.60138,.16516,.54446,.1639,.48867,.16019,.43481,.15436,.38352,.14677,1,1,1
1,0,-1,-1,1,1,1,-.14375,0,0,-1,1,1,1,.17917,-1,-1,-1,.0875,-1,1,-1,-1,1,-1,-1,1,-1,-1,-1,1,1,0,0,1
1,0,-.64286,-1,1,.82857,1,-1,1,-.23393,1,.96161,1,-.37679,1,-1,1,.13839,1,-1,1,-.03393,-.84286,1,.5375,.85714,1,1,1,-1,1,-1,1,-1,1
0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,-.375,-1,-1,-1,0,0,0,0,-1,-1,-1,-1,-1,1,1,0,0,0,1
1,0,.94598,-.02685,-1,.26131,-.36393,.35639,.69258,-.63427,1,-.03353,-.2902,-.0055,-.54852,.15452,.91921,-.4627,1,-.50424,-.29735,-.31454,-.73864,.37361,.83872,-.46734,.52208,-.5813,1,-.61393,-.09634,.20477,-.06117,.41913,1
1,0,0,0,1,.51724,0,0,.10991,-1,0,0,0,0,-1,-.22414,-.55711,-.83297,.7694,.63147,0,0,.53448,.35668,-.90302,.44828,1,-1,-1,.81573,0,0,0,0,1
0,0,1,1,1,-1,0,0,0,0,1,1,1,1,-1,-1,1,-1,-1,1,0,0,1,-1,1,-1,1,1,-1,-1,0,0,0,0,1
1,0,-.67935,-1,-1,1,1,.63317,.03515,-1,-1,-1,1,1,.88683,-1,-1,1,.8384,1,1,-1,-1,-1,-.18856,1,1,-1,-1,-1,-1,1,1,.33611,1
1,0,.08333,-.20685,-1,1,-1,1,.71875,.47173,-.82143,-.62723,-1,-1,-1,1,-.02753,.59152,-.42113,-.42113,-.74628,-1,-1,-.46801,-1,.2381,1,-1,-1,-.38914,-1,-1,-1,.61458,1
0,0,-1,1,1,-1,-1,1,0,0,1,1,-1,-.1875,1,1,-1,-1,1,-1,-1,-1,1,1,1,-1,1,1,1,1,0,0,-1,-1,1
1,0,.17188,-1,-1,1,0,0,0,0,-1,1,0,0,-.61354,-.67708,.80521,.36146,.51979,.14375,0,0,-1,-.27083,-.84792,.9625,1,1,-1,.67708,0,0,0,0,1
1,0,.01667,-.35625,0,0,0,0,0,0,0,0,0,0,.12292,-.55,.22813,.82813,1,-.42292,0,0,.08333,-1,-.10625,-.16667,1,-.76667,-1,.18854,0,0,1,-.27292,1
1,0,.63816,1,.20833,-1,1,1,.87719,.30921,-.66886,1,-.05921,.58772,.01754,.05044,-.51535,-1,.14254,-.03289,.32675,-.4386,-1,1,.80921,-1,1,-.0614,1,1,.20614,-1,1,1,1
1,0,.84783,.10598,1,.3913,1,-1,.66938,.08424,1,.27038,1,.60598,1,.35507,1,.02672,.58424,-.43025,1,.63496,.8913,.26585,.91033,-.33333,1,.15942,.37681,-.01947,1,.22464,1,.37409,1
0,0,1,-1,1,-1,1,-1,1,-1,1,1,1,1,1,-1,1,1,1,1,1,1,1,-1,1,-1,1,-1,1,.65625,0,0,1,-1,1
1,0,1,1,1,-1,1,-1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,.5,0,0,1,-1,1,-1,1
0,0,1,-1,1,1,-1,-1,1,-1,0,0,0,0,-1,1,1,-1,1,-1,-.75,1,1,-1,1,-1,1,-1,-1,-1,0,0,1,-1,1
1,0,.69444,.38889,0,0,-.32937,.69841,0,0,0,0,0,0,.20635,-.24206,.21032,.19444,.46429,.78175,0,0,0,0,.73413,.27381,.7619,.63492,0,0,0,0,0,0,1
0,0,1,1,0,0,1,-1,1,-1,1,1,1,1,1,-1,1,1,1,1,1,-1,-1,-1,1,-1,1,-1,1,1,0,0,1,-1,1
0,0,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,1,-1,1,-1,1,1,-1,1,1,-1,1,-1,-1,-1,1,1
0,0,1,1,1,-1,1,1,-1,1,0,0,1,1,0,0,0,0,-1,1,-1,1,1,1,1,-1,1,1,1,1,1,-1,-1,1,1
0,0,1,-1,1,1,1,1,1,1,1,1,1,-1,1,-1,1,1,1,-1,1,1,1,1,1,-1,1,1,1,-1,1,1,1,-1,1
1,0,.68198,-.17314,.82332,.21908,.46643,.32862,.25795,.58304,1,-.15194,.0106,.44523,.0106,.38869,.18681,.41168,.10567,.36353,.04325,.30745,-.00083,.24936,-.02862,.19405,-.04314,.14481,-.04779,.10349,-.04585,.07064,-.04013,.04586,1
1,0,.39179,-.06343,.97464,.04328,1,1,.35821,.15299,.54478,.1306,.61567,-.8209,.57836,.6791,.66791,-.10448,.46642,-.11567,.65574,.14792,.83209,.45522,.47015,.16418,.49309,.1463,.32463,-.02612,.39118,.13521,.34411,.12755,1
1,0,.72727,-.05,.89241,.03462,1,.72727,.66364,-.05909,.48182,-.16818,.81809,.09559,.56818,1,.50455,.21818,.66818,.1,1,-.3,.98636,-1,.57273,.32727,.56982,.14673,.42273,.08182,.48927,.14643,1,1,1
1,0,.41932,.12482,.35,.125,.23182,.27955,-.03636,.44318,.04517,.36194,-.19091,.33636,-.1335,.27322,.02727,.40455,-.34773,.12727,-.20028,.05078,-.18636,.36364,-.14003,-.04802,-.09971,-.07114,-1,-1,-.02916,-.07464,-.00526,-.06314,1
1,0,.84557,-.0858,-.31745,-.80553,-.08961,-.56435,.80648,.04576,.89514,-.00763,-.18494,.63966,-.20019,-.68065,.85701,-.11344,.77979,-.15729,-.06959,.5081,-.34128,.80934,.78932,-.03718,.70882,-.25288,.77884,-.14109,-.21354,-.7817,-.18494,-.59867,1
1,0,-.5418,.14861,-.33746,.73375,.52012,-.13932,.31889,-.06811,.20743,-.1517,.47368,.08978,.56347,-.1548,.16409,.45201,.33746,.03406,.50464,.07121,-.63777,-.6161,1,.65635,.41348,-.40116,-.1517,.11146,.02399,.5582,.52632,-.08978,1
1,0,.79157,.16851,0,0,.56541,.06874,.39468,1,.38359,.99557,-.02439,.53215,.23725,.1286,-.02661,.95122,-.50998,.84922,-.102,.38803,-.42572,.23725,-.91574,.8071,-.34146,.88248,-1,.69401,-1,.1286,0,0,1
1,0,-1,-1,0,0,.50814,-.78502,.60586,.32899,-1,-.41368,0,0,0,0,1,-.2671,.36482,-.63518,.97068,-1,-1,-1,1,-.59609,-1,-1,-1,-1,1,-1,0,0,1
1,0,1,-1,0,0,.77941,-.99265,.80882,.55147,-.41912,-.94853,0,0,0,0,.72059,-.77206,.73529,-.60294,0,0,.18382,-1,-1,-1,-1,-1,1,-1,1,-1,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,1
1,0,.28409,-.31818,0,0,.68182,-1,.30682,.95833,.64394,.06439,.34848,-.84848,0,0,.59091,-.35985,.45076,-.80682,0,0,0,0,.24242,.17803,1,-.23864,.06061,-.48485,.16288,-.70076,0,0,1
1,0,0,0,0,0,0,0,0,0,.62195,1,0,0,0,0,.36585,-.71951,.56098,-1,0,0,0,0,0,0,1,.10976,0,0,0,0,0,0,1
1,0,.10135,.10811,0,0,0,0,.5473,.82432,.31081,1,0,0,0,0,.37162,-1,.33108,-1,0,0,0,0,-.42568,-1,1,-1,.55405,-.23649,0,0,0,0,1
1,0,.65909,-.62879,0,0,0,0,.77273,1,1,-.2803,0,0,0,0,.62121,-.22727,.84091,-1,1,-1,0,0,0,0,1,-.93939,-.12879,-.93182,0,0,0,0,1
1,0,.42,-.61,0,0,1,-1,.9,1,.43,.64,0,0,0,0,.67,-.29,.84,-1,0,0,0,0,.21,.68,1,.22,0,0,0,0,0,0,1
1,0,.91353,.81586,-.72973,1,-.39466,.55735,.05405,.2973,-.18599,-.10241,-.03158,-.0897,.01401,-.03403,.01108,-.00537,.00342,.00097,.00048,.00075,-.00003,.00019,-.00003,.00002,-.00001,0,0,0,0,0,0,0,1
1,0,1,-.14754,1,.04918,.57377,-.01639,.65574,.01639,.85246,-.03279,.72131,0,.68852,-.16393,.19672,-.14754,.65558,-.17176,.67213,.03279,1,-.29508,.31148,-.34426,.52385,-.20325,.32787,-.03279,.27869,-.44262,.4918,-.06557,1
1,0,.39286,.52381,-.78824,.11342,-.16628,-.76378,.66667,.0119,.82143,.40476,-.6723,.30729,-.34797,-.63668,.46429,.15476,.54762,.05952,-.5183,.44961,-.47651,-.47594,.32143,.70238,.51971,.38848,.57143,.39286,-.54891,-.29915,.25441,-.55837,1
1,0,.43636,-.12727,.58182,-.14545,.18182,-.67273,.34545,-.03636,.29091,-.05455,.29091,.29091,.36364,-.41818,.2,-.01818,.36364,.05455,.12727,.49091,.61818,.16364,.32727,.16364,.41098,-.07027,.34545,-.05455,.12727,-.36364,.29091,-.29091,1
1,0,.7381,.83333,-.7619,-.2381,.33333,-.14286,.45238,-.14286,-.67285,.12808,.33333,0,.28571,-.07143,-.38214,.51163,.2381,.02381,.45238,.04762,.16667,-.2619,-.57255,-.10234,.24889,-.51079,1,0,-.66667,-.04762,.2619,.02381,1
1,0,1,1,0,0,0,0,0,0,.47744,-.89098,-.51504,.45489,-.95489,.28571,.64662,1,0,0,0,0,.6203,.20301,-1,-1,1,-1,1,1,0,0,0,0,1
1,0,.5984,.40332,.82809,.80521,.76001,.70709,.8401,-.10984,.97311,.07981,.95824,-.85727,.91962,.88444,.95452,-.05206,.88673,.18135,.98484,-.69594,.8667,-.85755,.28604,-.30063,1,.17076,.62958,.42677,.87757,.81007,.81979,.68822,1
1,0,0,0,-.33672,.85388,0,0,.68869,-1,.97078,.31385,-.26048,-.59212,-.30241,.65565,.94155,.16391,0,0,0,0,-.18043,-1,0,0,1,-1,0,0,.04447,.61881,0,0,1
1,0,0,0,.98919,-.22703,.18919,-.05405,0,0,.93243,.07297,1,-.2,1,.07027,1,-.11351,0,0,1,-.21081,1,-.41622,0,0,1,-.17568,0,0,1,-.25946,.28919,-.15676,1
1,0,1,1,1,-1,0,0,0,0,1,1,1,-1,1,1,1,-1,0,0,0,0,1,-.27778,0,0,1,-1,1,1,1,-1,0,0,1
1,0,0,0,1,-1,0,0,0,0,1,1,1,-.25342,1,.23288,1,-1,0,0,0,0,1,1,0,0,1,-1,0,0,1,-1,0,0,1
1,0,-1,.28105,.22222,.15033,-.75693,-.70984,-.30719,.71242,-1,1,-.81699,.33987,-.79085,-.02614,-.98039,-.83007,-.60131,-.54248,-.04575,-.83007,.94118,-.94118,-1,-.43137,.74385,.09176,-1,.05229,.18301,.02614,-.40201,-.48241,1
0,0,1,1,-1,-1,-1,-1,0,0,0,0,-1,-1,0,0,0,0,0,0,-1,1,1,1,0,0,1,-1,0,0,-1,-1,-1,-1,1
1,0,.68729,1,.91973,-.76087,.81773,.04348,.76087,.10702,.86789,.73746,.70067,.18227,.7592,.13712,.93478,-.25084,.70736,.18729,.64883,.24582,.60201,.77425,1,-.53846,.89262,.22216,.7107,.53846,1,-.06522,.56522,.23913,1
1,0,.38521,.15564,.41245,.07393,.26459,.24125,.23346,.1323,.19455,.25292,.24514,.36965,.08949,.22957,-.03891,.36965,.05058,.24903,.24903,.09728,.07782,.29961,-.02494,.28482,-.06024,.26256,-.14786,.14786,-.09339,.31128,-.19066,.28794,1
1,0,.06404,-.15271,-.04433,.05911,.08374,-.02463,-.01478,.18719,.06404,0,.12315,-.09852,.05911,0,.0197,-.02956,-.12808,-.2069,.06897,.01478,.06897,.02956,.07882,.16256,.28079,-.04926,-.05911,-.0936,.04433,.05419,.07389,-.10837,1
1,0,.25316,.35949,0,0,-.2962,-1,0,0,.07595,-.07342,0,0,0,0,0,0,0,0,.00759,.68101,-.2,.33671,-.1038,.35696,.0557,-1,0,0,.06329,-1,0,0,1
1,0,.42708,-.5,0,0,0,0,.46458,.51042,.58958,.02083,0,0,0,0,.16458,-.45417,.59167,-.18333,0,0,0,0,.9875,-.40833,-1,-1,-.27917,-.75625,0,0,0,0,1
1,0,0,0,1,.12889,.88444,-.02,0,0,1,-.42444,1,.19556,1,-.05333,1,-.81556,0,0,1,-.04,1,-.18667,0,0,1,-1,0,0,1,.11778,.90667,-.09556,1
1,0,0,0,0,0,0,0,0,0,0,0,-1,1,1,.55172,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,1
1,0,0,0,0,0,1,1,-1,-1,0,0,1,-.11111,0,0,0,0,-1,1,1,1,1,-1,0,0,1,-1,0,0,0,0,1,1,1
1,0,0,0,0,0,0,0,-1,1,0,0,1,.37333,-.12,-.12,0,0,-1,-1,0,0,1,-1,0,0,1,.22667,0,0,0,0,0,0,1
